Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Yarraville,10 Salisbury St,3,h,950000.0,S,Sweeney,29/04/2017,7.0,3013.0,3.0,2.0,2.0,287.0,210.68,2002.0,Maribyrnong,-37.8233,144.8825,Western Metropolitan,6543.0
Box Hill,7/12 Oxford St,1,u,340000.0,SP,Lindellas,18/03/2017,13.1,3128.0,1.0,1.0,1.0,29.0,,,Whitehorse,-37.8215,145.1214,Eastern Metropolitan,4605.0
Essendon North,4/8 Keam St,2,u,450000.0,SP,Barry,14/05/2016,9.4,3041.0,2.0,1.0,1.0,88.0,59.0,1960.0,Moonee Valley,-37.7389,144.8998,Western Metropolitan,1308.0
South Yarra,4/38 MacFarlan St,2,u,965000.0,S,hockingstuart,3/12/2016,3.3,3141.0,2.0,2.0,2.0,2143.0,,,Stonnington,-37.8393,144.9886,Southern Metropolitan,14887.0
Maribyrnong,12 Marin La,3,h,847000.0,S,Nelson,12/11/2016,8.7,3032.0,3.0,2.0,2.0,222.0,200.0,2002.0,Maribyrnong,-37.7697,144.878,Western Metropolitan,4918.0
Werribee,22 Kramer St,3,h,510000.0,S,Ray,1/07/2017,14.7,3030.0,3.0,2.0,2.0,658.0,125.0,1984.0,Wyndham,-37.88688,144.67244,Western Metropolitan,16166.0
Newport,7 Durkin St,3,h,945000.0,S,Jas,28/05/2016,8.4,3015.0,4.0,2.0,1.0,487.0,190.0,2017.0,Hobsons Bay,-37.8438,144.8806,Western Metropolitan,5498.0
Strathmore,1 Lebanon St,3,h,995000.0,SP,Jellis,20/05/2017,9.7,3041.0,3.0,2.0,3.0,653.0,,1940.0,Moonee Valley,-37.7296,144.9225,Western Metropolitan,3284.0
Balwyn North,49 Aylmer St,3,h,1800000.0,PI,hockingstuart,18/06/2016,9.2,3104.0,3.0,1.0,1.0,809.0,,,Boroondara,-37.7976,145.0684,Southern Metropolitan,7809.0
Balwyn North,8 Cash St,4,h,1740000.0,VB,Jellis,10/09/2016,9.2,3104.0,4.0,2.0,2.0,610.0,275.0,1993.0,Boroondara,-37.7843,145.0891,Southern Metropolitan,7809.0
Brunswick,157 Albion St,2,h,770000.0,S,Nelson,15/10/2016,5.2,3056.0,2.0,1.0,0.0,152.0,87.0,1910.0,Moreland,-37.7611,144.966,Northern Metropolitan,11918.0
Balwyn North,430 Balwyn Rd,5,h,1875000.0,PI,Fletchers,27/06/2016,9.2,3104.0,5.0,3.0,2.0,842.0,200.0,1961.0,Boroondara,-37.7854,145.0869,Southern Metropolitan,7809.0
Ascot Vale,41 Monash St,3,h,1230000.0,S,Nelson,8/10/2016,5.9,3032.0,4.0,1.0,2.0,594.0,148.0,1960.0,Moonee Valley,-37.7819,144.9064,Western Metropolitan,6567.0
Camberwell,11/596 Riversdale Rd,3,u,682000.0,S,Noel,29/07/2017,7.7,3124.0,3.0,1.0,2.0,2863.0,,,Boroondara,-37.83227,145.06325,Southern Metropolitan,8920.0
Hawthorn,8/14 Creswick St,2,u,663000.0,S,Marshall,19/11/2016,4.6,3122.0,2.0,1.0,1.0,0.0,,,Boroondara,-37.8166,145.0163,Southern Metropolitan,11308.0
Templestowe Lower,133 MacEdon Rd,4,h,945000.0,PI,Jellis,18/06/2016,13.8,3107.0,4.0,2.0,2.0,675.0,181.0,1985.0,Manningham,-37.764,145.1145,Eastern Metropolitan,5420.0
Prahran,37 Wrights Tce,3,h,1730000.0,S,Jellis,8/10/2016,4.5,3181.0,2.0,2.0,1.0,210.0,,,Stonnington,-37.851,145.0051,Southern Metropolitan,7717.0
Williamstown,8/97 Verdon St,2,u,465000.0,S,Raine,13/05/2017,8.0,3016.0,2.0,1.0,1.0,0.0,78.0,1970.0,Hobsons Bay,-37.8589,144.8921,Western Metropolitan,6380.0
St Kilda,48 Greeves St,4,h,2000000.0,VB,Gary,4/03/2017,6.1,3182.0,4.0,2.0,3.0,420.0,160.0,1910.0,Port Phillip,-37.8667,144.9832,Southern Metropolitan,13240.0
Newport,6 Speight St,4,h,1280000.0,S,Raine,16/07/2016,8.4,3015.0,4.0,2.0,1.0,458.0,153.0,1930.0,Hobsons Bay,-37.8427,144.879,Western Metropolitan,5498.0
Kingsville,5 Wales St,3,h,1000000.0,PI,Jas,16/09/2017,6.4,3012.0,3.0,2.0,2.0,275.0,282.0,1940.0,,-37.80592,144.8807,Western Metropolitan,1808.0
Ascot Vale,17 Monash St,3,h,1230000.0,PI,Nelson,20/05/2017,5.9,3032.0,3.0,1.0,2.0,538.0,,,Moonee Valley,-37.7808,144.9083,Western Metropolitan,6567.0
Greensborough,1/111 Nepean St,2,u,585000.0,S,Darren,15/07/2017,16.1,3088.0,2.0,1.0,1.0,240.0,79.0,1965.0,Banyule,-37.71254,145.09705,Northern Metropolitan,8524.0
Ringwood,1/14 Paxton St,2,u,655000.0,S,Carter,12/08/2017,19.9,3134.0,2.0,1.0,1.0,306.0,,,Maroondah,-37.80436,145.23339,Eastern Metropolitan,7785.0
Glenroy,5 Patrick St,3,h,847000.0,SP,Barry,1/07/2017,11.2,3046.0,3.0,1.0,2.0,650.0,,,Moreland,-37.71399,144.92264,Northern Metropolitan,8870.0
Murrumbeena,1/48 Kangaroo Rd,2,u,910000.0,S,hockingstuart,29/07/2017,10.1,3163.0,2.0,1.0,2.0,402.0,106.0,1970.0,Glen Eira,-37.89801,145.07103999999995,Southern Metropolitan,4442.0
Glenroy,56 Pecham St,3,h,621000.0,PI,Stockdale,22/04/2017,13.0,3046.0,3.0,1.0,1.0,694.0,,,Moreland,-37.6977,144.9116,Northern Metropolitan,8870.0
Niddrie,31 Carrington Rd,2,h,1190000.0,S,Barry,19/11/2016,11.2,3042.0,2.0,1.0,2.0,650.0,,,Moonee Valley,-37.7378,144.8893,Western Metropolitan,2291.0
Balwyn,9/204 Whitehorse Rd,1,h,390000.0,VB,Jellis,10/09/2016,9.7,3103.0,1.0,1.0,1.0,740.0,,,Boroondara,-37.8125,145.0775,Southern Metropolitan,5682.0
Murrumbeena,9 Stewart St,3,h,820000.0,PI,Woodards,4/06/2016,12.1,3163.0,2.0,1.0,1.0,274.0,107.0,1925.0,Glen Eira,-37.8968,145.075,Southern Metropolitan,4442.0
Glen Iris,116 High St,5,h,2825000.0,PI,Jellis,17/09/2016,9.2,3146.0,5.0,4.0,4.0,802.0,206.0,2013.0,Boroondara,-37.8627,145.0719,Southern Metropolitan,10412.0
Richmond,110/61 Stawell St,1,u,405000.0,PI,McGrath,7/05/2016,2.6,3121.0,1.0,1.0,1.0,7455.0,53.0,2005.0,Yarra,-37.822,145.0104,Northern Metropolitan,14949.0
Altona,29 Rose St,4,h,1780000.0,SP,Greg,4/06/2016,13.8,3018.0,4.0,3.0,6.0,1057.0,220.0,1962.0,Hobsons Bay,-37.8681,144.819,Western Metropolitan,5301.0
Doncaster East,2/24 Boronia Gr,3,u,871000.0,S,Fletchers,27/05/2017,14.3,3109.0,3.0,2.0,2.0,195.0,142.0,2010.0,Manningham,-37.79979,145.15665,Eastern Metropolitan,10999.0
Burwood East,2 Amaroo Ct,4,h,1088000.0,PI,Ray,1/07/2017,14.7,3151.0,4.0,1.0,1.0,536.0,140.7481,,Whitehorse,-37.8534,145.14218,Eastern Metropolitan,4048.0
Albert Park,2 Dundas Pl,3,h,2615000.0,S,Cayzer,10/12/2016,3.3,3206.0,3.0,2.0,1.0,177.0,181.0,1880.0,Port Phillip,-37.8415,144.9585,Southern Metropolitan,3280.0
Templestowe,32 Hillhouse Rd,4,h,1275000.0,PI,Barry,22/07/2017,15.5,3106.0,4.0,2.0,2.0,812.0,33.0,,Manningham,-37.7584,145.16128,Eastern Metropolitan,6202.0
Glenroy,11 Salisbury St,3,h,935000.0,S,Stockdale,29/04/2017,13.0,3046.0,3.0,1.0,2.0,666.0,176.0,1960.0,Moreland,-37.7015,144.9191,Northern Metropolitan,8870.0
Wollert,74 Lehmanns Rd,3,t,420000.0,S,Ray,9/09/2017,25.5,3750.0,3.0,2.0,2.0,167.0,,,,-37.60949,145.0382,Northern Metropolitan,2940.0
Williamstown,12/53 Morris St,2,u,550000.0,SP,Williams,22/04/2017,8.0,3016.0,2.0,1.0,2.0,0.0,65.0,1990.0,Hobsons Bay,-37.8685,144.9058,Western Metropolitan,6380.0
Moonee Ponds,36 Aberfeldie St,3,h,1850000.0,SP,McDonald,3/06/2017,6.2,3039.0,3.0,2.0,2.0,596.0,203.0,1950.0,Moonee Valley,-37.76086,144.90497,Western Metropolitan,6232.0
Niddrie,7/93 Hoffmans Rd,2,u,490000.0,S,Brad,10/12/2016,11.2,3042.0,2.0,1.0,1.0,142.0,,,Moonee Valley,-37.7415,144.8914,Western Metropolitan,2291.0
Bulleen,92 Swanston St,4,h,1110000.0,PI,Barry,3/09/2016,11.8,3105.0,3.0,2.0,2.0,562.0,,,Manningham,-37.7628,145.0994,Eastern Metropolitan,4480.0
Northcote,8 Reid St,2,h,1095000.0,S,Ray,22/08/2016,5.5,3070.0,2.0,1.0,2.0,306.0,86.0,1910.0,Darebin,-37.7644,145.004,Northern Metropolitan,11364.0
Armadale,14/71 Denbigh Rd,3,u,995000.0,S,Marshall,3/12/2016,6.3,3143.0,3.0,2.0,2.0,0.0,100.0,1998.0,Stonnington,-37.8552,145.016,Southern Metropolitan,4836.0
Newport,21 Tait St,3,h,950000.0,S,Greg,14/05/2016,8.4,3015.0,2.0,2.0,2.0,281.0,,1950.0,Hobsons Bay,-37.8431,144.8845,Western Metropolitan,5498.0
Northcote,52 Charles St,2,h,1211000.0,S,Jellis,24/09/2016,5.5,3070.0,2.0,1.0,1.0,178.0,100.0,1900.0,Darebin,-37.777,144.9922,Northern Metropolitan,11364.0
Kensington,9/80 Hobsons Rd,3,t,855000.0,S,Nelson,3/06/2017,3.4,3031.0,3.0,2.0,1.0,68.0,,,Melbourne,-37.79554,144.91679,Northern Metropolitan,5263.0
Moonee Ponds,25 George St,4,h,955000.0,S,Woodards,29/04/2017,6.9,3039.0,4.0,2.0,3.0,431.0,246.0,1910.0,Moonee Valley,-37.7615,144.9094,Western Metropolitan,6232.0
Balwyn North,9 Gildan St,3,h,2000000.0,VB,Kay,28/08/2016,9.2,3104.0,3.0,1.0,2.0,75100.0,,,Boroondara,-37.8002,145.07,Southern Metropolitan,7809.0
Maribyrnong,1A Riverview Ct,4,h,1190000.0,S,Rendina,29/04/2017,8.7,3032.0,4.0,3.0,2.0,224.0,205.0,2015.0,Maribyrnong,-37.7641,144.8885,Western Metropolitan,4918.0
Williamstown North,12/29 Champion Rd,2,u,380000.0,PI,Greg,18/06/2016,8.9,3016.0,2.0,1.0,1.0,0.0,64.0,1960.0,Hobsons Bay,-37.8564,144.8864,Western Metropolitan,802.0
Balwyn,3/10 Westminster St,2,h,1215000.0,S,Jellis,3/12/2016,9.7,3103.0,2.0,2.0,2.0,0.0,,,Boroondara,-37.8134,145.0972,Southern Metropolitan,5682.0
Reservoir,66 Crookston Rd,3,h,953000.0,S,Ray,15/07/2017,12.0,3073.0,3.0,1.0,2.0,743.0,115.0,1970.0,Darebin,-37.70964,145.0171,Northern Metropolitan,21650.0
Maidstone,11d Rooney St,3,t,657000.0,S,Nguyen,26/07/2016,9.2,3012.0,3.0,2.0,2.0,159.0,,,Maribyrnong,-37.7846,144.87,Western Metropolitan,3873.0
Essendon,10/10 Ardoch St,2,u,502500.0,SP,McDonald,15/07/2017,7.5,3040.0,2.0,1.0,1.0,0.0,62.0,1980.0,Moonee Valley,-37.7494,144.92096,Western Metropolitan,9264.0
Hawthorn,31 Smart St,2,h,1800000.0,S,Jellis,13/05/2017,4.6,3122.0,2.0,1.0,0.0,221.0,106.0,1900.0,Boroondara,-37.8163,145.0251,Southern Metropolitan,11308.0
Richmond,74 Hunter St,3,h,1250000.0,VB,Jellis,27/05/2017,2.4,3121.0,3.0,1.0,1.0,111.0,,,Yarra,-37.82137,145.00512,Northern Metropolitan,14949.0
Brighton,3/12 Wellington St,3,u,1221000.0,S,Nick,22/04/2017,11.2,3186.0,3.0,2.0,2.0,0.0,109.0,1975.0,Bayside,-37.9163,144.9901,Southern Metropolitan,10579.0
Essendon,1/16 Leake St,4,u,1170000.0,SP,Barry,19/11/2016,8.0,3040.0,4.0,2.0,2.0,0.0,180.0,2013.0,Moonee Valley,-37.7465,144.91,Western Metropolitan,9264.0
Abbotsford,55a Park St,4,h,1600000.0,VB,Nelson,4/06/2016,2.5,3067.0,3.0,1.0,2.0,120.0,142.0,2014.0,Yarra,-37.8072,144.9941,Northern Metropolitan,4019.0
Richmond,6 Kennedy St,3,h,1365000.0,S,Nelson,17/09/2016,2.6,3121.0,3.0,1.0,1.0,301.0,110.0,1935.0,Yarra,-37.8134,145.0055,Northern Metropolitan,14949.0
Richmond,29/9 Tennyson St,2,u,582000.0,S,Biggin,3/09/2016,2.6,3121.0,2.0,1.0,1.0,0.0,75.0,2001.0,Yarra,-37.824,144.9918,Northern Metropolitan,14949.0
Brighton East,25 Robinson St,4,h,2150000.0,S,Buxton,19/11/2016,10.7,3187.0,4.0,3.0,2.0,614.0,225.0,1970.0,Bayside,-37.9186,145.0175,Southern Metropolitan,6938.0
Fawkner,45 Bruce St,4,h,540000.0,VB,Brad,8/10/2016,12.4,3060.0,4.0,2.0,3.0,254.0,164.0,1990.0,Moreland,-37.7082,144.9725,Northern Metropolitan,5070.0
Brunswick,2/22 Saxon St,2,u,592500.0,S,Nelson,28/05/2016,5.2,3056.0,2.0,1.0,2.0,0.0,89.0,2002.0,Moreland,-37.7706,144.9608,Northern Metropolitan,11918.0
Middle Park,76 Harold St,3,h,2360000.0,S,Cayzer,18/06/2016,4.1,3206.0,3.0,1.0,1.0,288.0,,1900.0,Port Phillip,-37.8507,144.9591,Southern Metropolitan,2019.0
Coburg,17 Lobb St,4,h,1525000.0,S,Brad,3/06/2017,6.7,3058.0,4.0,2.0,2.0,604.0,,,Moreland,-37.73975,144.9651,Northern Metropolitan,11204.0
Essendon,151 Ogilvie St,3,h,1266000.0,S,Brad,16/07/2016,8.0,3040.0,2.0,1.0,2.0,635.0,,,Moonee Valley,-37.74,144.8941,Western Metropolitan,9264.0
Bentleigh,3 Rogers Rd,3,h,1286000.0,S,Woodards,20/05/2017,13.0,3204.0,3.0,1.0,2.0,614.0,,,Glen Eira,-37.9317,145.0427,Southern Metropolitan,6795.0
Port Melbourne,98 Heath St,2,h,1400000.0,S,Marshall,25/02/2017,3.8,3207.0,2.0,1.0,1.0,168.0,102.0,1934.0,Port Phillip,-37.8346,144.9453,Southern Metropolitan,8648.0
Prahran,31 Molesworth St,3,h,2200000.0,PI,hockingstuart,17/06/2017,4.6,3181.0,3.0,2.0,2.0,142.0,,2000.0,Stonnington,-37.84961,145.01113,Southern Metropolitan,7717.0
Glen Waverley,31 Paxton Dr,3,h,1300000.0,S,hockingstuart,19/08/2017,16.7,3150.0,3.0,2.0,3.0,733.0,,,,-37.89014,145.18268999999995,Eastern Metropolitan,15321.0
Reservoir,19 Drysdale St,3,h,723000.0,S,Ray,3/12/2016,11.2,3073.0,3.0,1.0,1.0,535.0,86.0,1950.0,Darebin,-37.7299,145.0242,Northern Metropolitan,21650.0
Sandringham,121 Sandringham Rd,5,h,2290000.0,S,Marshall,9/09/2017,15.2,3191.0,5.0,3.0,2.0,553.0,273.0,1925.0,,-37.95185,145.01859,Southern Metropolitan,4497.0
Elwood,9/400 Barkly St,1,u,392500.0,SP,Biggin,3/12/2016,7.7,3184.0,1.0,1.0,0.0,0.0,,,Port Phillip,-37.882,144.9785,Southern Metropolitan,8989.0
Caulfield South,10/468 Kooyong Rd,1,u,275500.0,PI,Gary,3/12/2016,9.3,3162.0,1.0,1.0,1.0,0.0,44.0,1960.0,Glen Eira,-37.8961,145.0132,Southern Metropolitan,5051.0
Moonee Ponds,61 Steele St,4,h,1361500.0,S,Rendina,10/12/2016,6.9,3039.0,4.0,1.0,2.0,453.0,145.0,1920.0,Moonee Valley,-37.7698,144.9336,Western Metropolitan,6232.0
Blackburn North,1 Diana Dr,4,h,1280000.0,SP,Noel,17/06/2017,13.4,3130.0,4.0,2.0,1.0,797.0,164.0,1960.0,Whitehorse,-37.80755,145.1638,Eastern Metropolitan,2867.0
Essendon,1/247 Keilor Rd,3,t,750000.0,VB,Brad,18/06/2016,8.0,3040.0,3.0,1.0,1.0,253.0,145.0,1997.0,Moonee Valley,-37.7397,144.898,Western Metropolitan,9264.0
Ascot Vale,7 Francis St,3,h,1380000.0,SP,Nelson,4/03/2017,5.9,3032.0,3.0,2.0,2.0,277.0,174.0,1910.0,Moonee Valley,-37.7777,144.9221,Western Metropolitan,6567.0
Kensington,107/88 Altona St,1,u,360000.0,VB,Dingle,10/12/2016,4.2,3031.0,1.0,1.0,1.0,4267.0,,,Melbourne,-37.7966,144.9254,Northern Metropolitan,5263.0
Kew,57 Derby St,4,h,1690000.0,S,Nelson,3/09/2017,5.4,3101.0,4.0,2.0,4.0,350.0,168.0,1900.0,,-37.80127,145.03733,Southern Metropolitan,10331.0
South Melbourne,396 Dorcas St,4,h,1620000.0,S,Greg,3/12/2016,2.1,3205.0,4.0,2.0,0.0,163.0,153.0,1890.0,Port Phillip,-37.8355,144.951,Southern Metropolitan,5943.0
Newport,31 Milford St,2,h,1030000.0,S,Village,15/10/2016,8.4,3015.0,2.0,1.0,2.0,470.0,136.0,1930.0,Hobsons Bay,-37.8471,144.8769,Western Metropolitan,5498.0
Reservoir,7/47 Storey Rd,2,u,432000.0,S,Love,10/09/2016,11.2,3073.0,2.0,1.0,1.0,137.0,,,Darebin,-37.7241,145.0114,Northern Metropolitan,21650.0
Coburg North,143 Elizabeth St,4,h,950000.0,S,hockingstuart,18/06/2016,9.2,3058.0,4.0,2.0,2.0,298.0,231.0,2013.0,Moreland,-37.7308,144.9836,Northern Metropolitan,3445.0
Brighton East,2a Hurlstone St,2,t,1014000.0,S,Buxton,30/07/2016,10.7,3187.0,2.0,1.0,1.0,267.0,131.0,1990.0,Bayside,-37.9055,145.0173,Southern Metropolitan,6938.0
Lalor,20 Dunbar Ct,3,h,685000.0,S,Ray,3/09/2017,16.3,3075.0,3.0,1.0,2.0,888.0,,,,-37.66075,145.01133000000004,Northern Metropolitan,8279.0
Seddon,1/22 Vigo St,3,u,886000.0,S,Jas,22/07/2017,5.1,3011.0,3.0,2.0,2.0,0.0,,2005.0,Maribyrnong,-37.80618,144.89057,Western Metropolitan,2417.0
Glen Iris,10 Morell St,3,h,1800000.0,SP,Jellis,8/04/2017,9.2,3146.0,3.0,1.0,3.0,732.0,138.0,1950.0,Boroondara,-37.8562,145.0864,Southern Metropolitan,10412.0
Box Hill,3/8 Ashted Rd,2,u,636000.0,S,Philip,19/11/2016,13.1,3128.0,2.0,1.0,1.0,151.0,82.0,1970.0,Whitehorse,-37.8234,145.1235,Eastern Metropolitan,4605.0
Caulfield South,89 Clarence St,2,h,1340000.0,S,Buxton,24/09/2016,9.3,3162.0,2.0,1.0,1.0,505.0,117.0,1940.0,Glen Eira,-37.8928,145.0149,Southern Metropolitan,5051.0
Ascot Vale,8/39 Maribyrnong Rd,3,t,762000.0,S,Nelson,15/07/2017,4.3,3032.0,3.0,1.0,1.0,0.0,,,Moonee Valley,-37.77261,144.92276,Western Metropolitan,6567.0
Albion,26 Wyalong St,3,h,800000.0,S,Bells,8/04/2017,13.9,3020.0,4.0,2.0,5.0,689.0,128.0,1951.0,Brimbank,-37.7776,144.8167,Western Metropolitan,2185.0
Reservoir,29 Byfield St,3,h,877500.0,S,Nelson,24/06/2017,12.0,3073.0,3.0,1.0,1.0,598.0,,,Darebin,-37.71394,145.00387,Northern Metropolitan,21650.0
Avondale Heights,109 North Rd,4,h,762000.0,S,Nelson,26/07/2016,10.5,3034.0,4.0,2.0,2.0,589.0,150.0,1961.0,Moonee Valley,-37.7573,144.8534,Western Metropolitan,4502.0
Kensington,2 Smith St,1,t,715000.0,S,Nelson,27/05/2017,3.4,3031.0,1.0,1.0,0.0,91.0,,2006.0,Melbourne,-37.7914,144.93076000000005,Northern Metropolitan,5263.0
Elwood,10/125 Ormond Rd,1,u,510000.0,S,Chisholm,3/12/2016,7.7,3184.0,1.0,1.0,1.0,0.0,60.0,2001.0,Port Phillip,-37.8857,144.9884,Southern Metropolitan,8989.0
Hillside,22 Hillcrest Dr,6,h,935000.0,S,Prof.,17/06/2017,18.0,3037.0,6.0,4.0,2.0,694.0,,,Melton,-37.68178,144.73779,Western Metropolitan,5556.0
Thornbury,4b Newcastle St,3,t,910000.0,S,Love,7/11/2016,6.5,3071.0,3.0,2.0,1.0,0.0,,,Darebin,-37.7551,145.0108,Northern Metropolitan,8870.0
Preston,246 Murray Rd,3,h,810000.0,SP,Barry,18/06/2016,8.8,3072.0,2.0,1.0,1.0,421.0,97.0,1930.0,Darebin,-37.738,145.0064,Northern Metropolitan,14577.0
Kew,8 Mawson St,5,h,4515000.0,S,Marshall,13/05/2017,5.6,3101.0,5.0,4.0,2.0,800.0,490.0,2012.0,Boroondara,-37.8147,145.0571,Southern Metropolitan,10331.0
Sunshine West,9 Dalpura Dr,3,h,488000.0,S,Barry,3/12/2016,13.5,3020.0,3.0,1.0,2.0,538.0,,,Brimbank,-37.7952,144.8126,Western Metropolitan,6763.0
South Yarra,16 Oxford St,3,h,1510000.0,S,Kay,3/12/2016,3.3,3141.0,3.0,5.0,0.0,241.0,,,Stonnington,-37.8407,144.9962,Southern Metropolitan,14887.0
Keilor East,13 Pennington St,4,h,835000.0,S,Nelson,16/04/2016,12.8,3033.0,4.0,2.0,3.0,708.0,184.0,1990.0,Moonee Valley,-37.7452,144.8652,Western Metropolitan,5629.0
Burwood,10 Hastings St,3,h,1460000.0,S,Marshall,17/09/2016,11.7,3125.0,3.0,1.0,2.0,742.0,,,Whitehorse,-37.8529,145.0962,Southern Metropolitan,5678.0
Mulgrave,63 Haverbrack Dr,4,h,1105000.0,S,Ray,3/09/2017,18.8,3170.0,4.0,3.0,2.0,650.0,224.0,1985.0,,-37.92979,145.2036,South-Eastern Metropolitan,7113.0
Hawthorn,357 Auburn Rd,4,h,2325000.0,S,Jellis,16/09/2017,5.3,3122.0,4.0,3.0,2.0,649.0,227.0,1920.0,,-37.83508,145.0429,Southern Metropolitan,11308.0
Hawthorn East,6/36 Auburn Gr,2,u,500000.0,SP,Marshall,8/04/2017,7.5,3123.0,2.0,1.0,1.0,710.0,,,Boroondara,-37.8259,145.0483,Southern Metropolitan,6482.0
Eaglemont,1/16 Cape St,2,u,525000.0,S,Miles,14/05/2016,10.3,3084.0,2.0,1.0,1.0,79.0,70.0,1970.0,Banyule,-37.7612,145.0663,Eastern Metropolitan,1651.0
Balwyn North,25 Rookwood St,2,h,1900000.0,S,Noel,8/04/2017,9.2,3104.0,2.0,1.0,2.0,667.0,130.0,1955.0,Boroondara,-37.7926,145.0842,Southern Metropolitan,7809.0
Brunswick West,2/8 Walker St,1,u,320000.0,S,Jellis,18/06/2016,5.9,3055.0,1.0,1.0,1.0,0.0,43.0,1970.0,Moreland,-37.7661,144.9422,Northern Metropolitan,7082.0
Essendon,61 William St,3,h,1875000.0,SP,Jellis,29/07/2017,7.5,3040.0,3.0,1.0,2.0,828.0,,,Moonee Valley,-37.74473,144.90238,Western Metropolitan,9264.0
Carnegie,1/38 Neville St,3,u,1170000.0,S,Woodards,10/09/2016,11.4,3163.0,3.0,1.0,2.0,0.0,170.0,1925.0,Glen Eira,-37.8977,145.0493,Southern Metropolitan,7822.0
Bentleigh East,1/26 Patricia St,3,u,810000.0,S,Woodards,22/05/2016,13.9,3165.0,3.0,2.0,1.0,316.0,,1950.0,Glen Eira,-37.9245,145.0773,Southern Metropolitan,10969.0
Oak Park,1 Jacaranda St,3,h,770000.0,S,Stockdale,17/09/2016,11.5,3046.0,3.0,2.0,2.0,382.0,173.0,1960.0,Moreland,-37.7152,144.9165,Northern Metropolitan,2651.0
Carnegie,52 Emily St,3,h,1200000.0,S,Woodards,14/05/2016,11.4,3163.0,3.0,2.0,1.0,588.0,,,Glen Eira,-37.8937,145.0648,Southern Metropolitan,7822.0
Mount Waverley,2 Merton Cl,3,h,1385000.0,S,Ray,1/07/2017,14.2,3149.0,3.0,1.0,2.0,807.0,167.0,1970.0,Monash,-37.86618,145.14757,Eastern Metropolitan,13366.0
Yarraville,3 Freame St,3,h,1081000.0,SP,Village,24/09/2016,7.0,3013.0,3.0,1.0,1.0,448.0,104.0,1940.0,Maribyrnong,-37.8171,144.8753,Western Metropolitan,6543.0
Northcote,2/13 Spencer St,2,h,844000.0,S,Barry,16/04/2016,5.5,3070.0,2.0,1.0,1.0,174.0,106.0,1995.0,Darebin,-37.7642,144.9963,Northern Metropolitan,11364.0
Carlton,8/31 Bouverie St,3,u,860000.0,PI,Woodards,4/06/2016,1.8,3053.0,2.0,2.0,1.0,0.0,109.0,1994.0,Melbourne,-37.8052,144.9604,Northern Metropolitan,6786.0
Bentleigh,3 Somers St,4,h,1041000.0,S,Woodards,22/05/2016,13.0,3204.0,4.0,2.0,1.0,292.0,,,Glen Eira,-37.9148,145.0243,Southern Metropolitan,6795.0
Ormond,3a Fraser St,2,h,861000.0,S,Gary,14/05/2016,11.8,3204.0,2.0,1.0,1.0,0.0,,2002.0,Glen Eira,-37.9026,145.0364,Southern Metropolitan,3578.0
Blackburn North,15 Merle St,4,h,1375000.0,S,Jellis,3/09/2017,13.4,3130.0,4.0,1.0,3.0,757.0,150.0,1968.0,,-37.80815,145.15441,Eastern Metropolitan,2867.0
Spotswood,59 Hope St,4,h,871500.0,PI,Jas,28/08/2016,7.7,3015.0,4.0,2.0,0.0,389.0,158.0,1990.0,Hobsons Bay,-37.8284,144.8861,Western Metropolitan,1223.0
Templestowe,1 Saville Ct,5,h,1300000.0,PI,Barry,22/07/2017,15.5,3106.0,5.0,3.0,3.0,767.0,,,Manningham,-37.76084,145.12675,Eastern Metropolitan,6202.0
Bentleigh East,41 Shrewsbury St,4,h,1595000.0,S,Jellis,19/08/2017,13.8,3165.0,4.0,1.0,2.0,581.0,167.0,1960.0,,-37.91291,145.05996000000005,Southern Metropolitan,10969.0
Essendon,130 Tennyson St,2,h,1001000.0,S,Jellis,15/10/2016,8.0,3040.0,2.0,1.0,2.0,244.0,,1915.0,Moonee Valley,-37.7543,144.9307,Western Metropolitan,9264.0
Eaglemont,47 Ormond Rd,5,h,1930000.0,S,Miles,15/10/2016,10.3,3084.0,5.0,2.0,1.0,939.0,236.0,1930.0,Banyule,-37.7659,145.0585,Eastern Metropolitan,1651.0
Richmond,81 Erin St,3,h,1260000.0,S,Biggin,3/09/2016,2.6,3121.0,2.0,1.0,0.0,203.0,81.0,1900.0,Yarra,-37.8166,144.9945,Northern Metropolitan,14949.0
Kew East,7 Violet Gr,4,h,1830000.0,PI,Marshall,15/10/2016,7.5,3102.0,4.0,2.0,3.0,596.0,,1930.0,Boroondara,-37.799,145.0578,Southern Metropolitan,2671.0
McKinnon,36A Windsor Av,4,t,1655000.0,S,Buxton,26/08/2017,11.4,3204.0,4.0,2.0,2.0,361.0,,,,-37.91406,145.04865,Southern Metropolitan,2397.0
Williamstown,233 Nelson Pl,4,h,1860000.0,S,Sweeney,27/11/2016,8.0,3016.0,4.0,2.0,0.0,199.0,242.0,,Hobsons Bay,-37.8615,144.9023,Western Metropolitan,6380.0
Elwood,1/40 Ormond Rd,1,u,470000.0,SP,hockingstuart,25/02/2017,7.7,3184.0,1.0,1.0,1.0,900.0,,,Port Phillip,-37.8839,144.9848,Southern Metropolitan,8989.0
